ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-02-12,1456.650449387398,-3421.85810236957,2408.8771496225877,1456.650449387398,1456.650449387398,-2124.824932315489,-2124.824932315489,-2124.824932315489,-1040.4661540526138,-1040.4661540526138,-1040.4661540526138,-1084.3587782628754,-1084.3587782628754,-1084.3587782628754,0.0,0.0,0.0,-668.174482928091
2014-02-14,1456.8852918988882,-1914.2086879459903,3291.6451077943248,1456.8852918988882,1456.8852918988882,-783.9335592172849,-783.9335592172849,-783.9335592172849,419.72081846414403,419.72081846414403,419.72081846414403,-1203.654377681429,-1203.654377681429,-1203.654377681429,0.0,0.0,0.0,672.9517326816033
2014-02-15,1457.002713154633,-2449.383892997872,2857.0062764988024,1457.002713154633,1457.002713154633,-1230.7926210963458,-1230.7926210963458,-1230.7926210963458,21.485158002704345,21.485158002704345,21.485158002704345,-1252.2777790990503,-1252.2777790990503,-1252.2777790990503,0.0,0.0,0.0,226.21009205828727
2014-02-16,1457.120134410378,-2409.1066780825918,3060.990253614487,1457.120134410378,1457.120134410378,-1087.9654851526755,-1087.9654851526755,-1087.9654851526755,203.64879672757974,203.64879672757974,203.64879672757974,-1291.6142818802555,-1291.6142818802555,-1291.6142818802555,0.0,0.0,0.0,369.15464925770243
2014-02-17,1457.2375556661232,-2249.612497560395,3304.76423278456,1457.2375556661232,1457.2375556661232,-908.8067226507702,-908.8067226507702,-908.8067226507702,411.6104265017471,411.6104265017471,411.6104265017471,-1320.4171491525174,-1320.4171491525174,-1320.4171491525174,0.0,0.0,0.0,548.430833015353
2014-02-18,1457.354976921868,-2815.1757882852803,2557.2253465992453,1457.354976921868,1457.354976921868,-1509.675685227407,-1509.675685227407,-1509.675685227407,-172.03488485333682,-172.03488485333682,-172.03488485333682,-1337.6408003740703,-1337.6408003740703,-1337.6408003740703,0.0,0.0,0.0,-52.32070830553903
2014-02-20,1457.589819433358,-2506.5257454565512,2743.652440218483,1457.589819433358,1457.589819433358,-1178.2824147407266,-1178.2824147407266,-1178.2824147407266,156.03583921037227,156.03583921037227,156.03583921037227,-1334.318253951099,-1334.318253951099,-1334.318253951099,0.0,0.0,0.0,279.3074046926313
2014-02-21,1457.707240689103,-2145.5380008107572,3490.9192523040897,1457.707240689103,1457.707240689103,-893.1638621807797,-893.1638621807797,-893.1638621807797,419.720818465619,419.720818465619,419.720818465619,-1312.884680646399,-1312.884680646399,-1312.884680646399,0.0,0.0,0.0,564.5433785083233
2014-02-22,1457.8246619448478,-2483.1212164070503,3034.8361659627176,1457.8246619448478,1457.8246619448478,-1256.6343382929886,-1256.6343382929886,-1256.6343382929886,21.4851580041034,21.4851580041034,21.4851580041034,-1278.119496297092,-1278.119496297092,-1278.119496297092,0.0,0.0,0.0,201.19032365185922
2014-02-23,1457.9420832005926,-2231.263645862289,3032.006354038089,1457.9420832005926,1457.9420832005926,-1026.598679510504,-1026.598679510504,-1026.598679510504,203.64879672827706,203.64879672827706,203.64879672827706,-1230.2474762387815,-1230.2474762387815,-1230.2474762387815,0.0,0.0,0.0,431.3434036900885
2014-02-24,1458.059504456338,-2173.4316281725733,3336.982387150468,1458.059504456338,1458.059504456338,-758.1492119830889,-758.1492119830889,-758.1492119830889,411.61042650224675,411.61042650224675,411.61042650224675,-1169.7596384853355,-1169.7596384853355,-1169.7596384853355,0.0,0.0,0.0,699.910292473249
2014-02-27,1458.4117646502675,-2125.0090737481214,3610.731579698065,1458.4117646502675,1458.4117646502675,-765.2178049806744,-765.2178049806744,-765.2178049806744,156.03583920941628,156.03583920941628,156.03583920941628,-921.2536441900904,-921.2536441900904,-921.2536441900904,0.0,0.0,0.0,693.1939596695931
2014-03-01,1458.646604779554,-1982.1880885403098,3594.404949159521,1458.646604779554,1458.646604779554,-690.6832880295423,-690.6832880295423,-690.6832880295423,21.485158003550332,21.485158003550332,21.485158003550332,-712.1684460330927,-712.1684460330927,-712.1684460330927,0.0,0.0,0.0,767.9633167500118
2014-03-02,1458.7640248441974,-1660.4969994540224,3799.8164788458425,1458.7640248441974,1458.7640248441974,-395.6008899196031,-395.6008899196031,-395.6008899196031,203.6487967289744,203.6487967289744,203.6487967289744,-599.2496866485775,-599.2496866485775,-599.2496866485775,0.0,0.0,0.0,1063.1631349245943
2014-03-03,1458.8814449088406,-1348.437920770243,3990.507155586632,1458.8814449088406,1458.8814449088406,-71.4849525940185,-71.4849525940185,-71.4849525940185,411.6104265006259,411.6104265006259,411.6104265006259,-483.09537909464444,-483.09537909464444,-483.09537909464444,0.0,0.0,0.0,1387.3964923148221
2014-03-04,1458.9988649734842,-1613.3649650677846,3789.801644879143,1458.9988649734842,1458.9988649734842,-537.5796961040653,-537.5796961040653,-537.5796961040653,-172.03488485251424,-172.03488485251424,-172.03488485251424,-365.5448112515509,-365.5448112515509,-365.5448112515509,0.0,0.0,0.0,921.4191688694189
2014-03-05,1459.1162850381274,-2495.615254109228,3114.214587431801,1459.1162850381274,1459.1162850381274,-1288.9190782280184,-1288.9190782280184,-1288.9190782280184,-1040.4661540525897,-1040.4661540525897,-1040.4661540525897,-248.45292417542848,-248.45292417542848,-248.45292417542848,0.0,0.0,0.0,170.19720681010904
2014-03-07,1459.351125167414,-960.1505753389416,4505.453609830722,1459.351125167414,1459.351125167414,396.8104572929638,396.8104572929638,396.8104572929638,419.7208184647584,419.7208184647584,419.7208184647584,-22.910361171794612,-22.910361171794612,-22.910361171794612,0.0,0.0,0.0,1856.1615824603778
2014-03-10,1459.7033853613436,-396.0723108983076,4773.39364639159,1459.7033853613436,1459.7033853613436,680.5168750128338,680.5168750128338,680.5168750128338,411.6104265007104,411.6104265007104,411.6104265007104,268.90644851212323,268.90644851212323,268.90644851212323,0.0,0.0,0.0,2140.2202603741775
2014-03-11,1459.8208054259871,-973.6935873686137,4612.950924793981,1459.8208054259871,1459.8208054259871,176.09916995797084,176.09916995797084,176.09916995797084,-172.03488485367708,-172.03488485367708,-172.03488485367708,348.134054811648,348.134054811648,348.134054811648,0.0,0.0,0.0,1635.919975383958
2014-03-14,1460.173065619917,-301.9374180538149,5070.200807478327,1460.173065619917,1460.173065619917,937.7308178383912,937.7308178383912,937.7308178383912,419.7208184648086,419.7208184648086,419.7208184648086,518.0099993735828,518.0099993735828,518.0099993735828,0.0,0.0,0.0,2397.903883458308
2014-03-15,1460.2904856845603,-714.7014304060983,4833.706797924204,1460.2904856845603,1460.2904856845603,571.7774864987477,571.7774864987477,571.7774864987477,21.485158003246404,21.485158003246404,21.485158003246404,550.2923284955015,550.2923284955015,550.2923284955015,0.0,0.0,0.0,2032.067972183308
2014-03-16,1460.4079057492036,-610.666292063193,4974.468988175734,1460.4079057492036,1460.4079057492036,773.782362414981,773.782362414981,773.782362414981,203.64879672803409,203.64879672803409,203.64879672803409,570.1335656869469,570.1335656869469,570.1335656869469,0.0,0.0,0.0,2234.1902681641845
2014-03-17,1460.5253258138468,-114.77594972589321,5101.9749270756265,1460.5253258138468,1460.5253258138468,989.3388065282753,989.3388065282753,989.3388065282753,411.61042650121004,411.61042650121004,411.61042650121004,577.7283800270652,577.7283800270652,577.7283800270652,0.0,0.0,0.0,2449.864132342122
2014-03-18,1460.6427458784901,-727.9528439120807,4771.314276448816,1460.6427458784901,1460.6427458784901,401.4615045846258,401.4615045846258,401.4615045846258,-172.03488485441486,-172.03488485441486,-172.03488485441486,573.4963894390406,573.4963894390406,573.4963894390406,0.0,0.0,0.0,1862.104250463116
2014-03-19,1460.7601659431334,-1903.9544738284167,3806.613068956153,1460.7601659431334,1460.7601659431334,-482.39967100744235,-482.39967100744235,-482.39967100744235,-1040.4661540522204,-1040.4661540522204,-1040.4661540522204,558.0664830447782,558.0664830447782,558.0664830447782,0.0,0.0,0.0,978.3604949356911
2014-03-21,1460.99500607242,-242.52518370968588,5144.80011784494,1460.99500607242,1460.99500607242,916.7713655920071,916.7713655920071,916.7713655920071,419.72081846532296,419.72081846532296,419.72081846532296,497.05054712668425,497.05054712668425,497.05054712668425,0.0,0.0,0.0,2377.766371664427
2014-03-22,1461.1124261370633,-788.1640843545016,4894.348594422361,1461.1124261370633,1461.1124261370633,475.0546438969647,475.0546438969647,475.0546438969647,21.485158003843107,21.485158003843107,21.485158003843107,453.56948589312157,453.56948589312157,453.56948589312157,0.0,0.0,0.0,1936.167070034028
2014-03-23,1461.2298462017066,-824.0363470043442,4805.394282224002,1461.2298462017066,1461.2298462017066,606.69265467478,606.69265467478,606.69265467478,203.6487967287314,203.6487967287314,203.6487967287314,403.04385794604843,403.04385794604843,403.04385794604843,0.0,0.0,0.0,2067.9225008764865
2014-03-24,1461.3472662663498,-510.35367197923165,4949.396557202666,1461.3472662663498,1461.3472662663498,758.3919017863312,758.3919017863312,758.3919017863312,411.61042650170975,411.61042650170975,411.61042650170975,346.7814752846214,346.7814752846214,346.7814752846214,0.0,0.0,0.0,2219.739168052681
2014-03-25,1461.4646863309931,-1272.8684670536832,4356.562933972205,1461.4646863309931,1461.4646863309931,114.10071533612548,114.10071533612548,114.10071533612548,-172.03488485515263,-172.03488485515263,-172.03488485515263,286.13560019127806,286.13560019127806,286.13560019127806,0.0,0.0,0.0,1575.5654016671185
2014-03-26,1461.5821063956364,-1985.2341436811043,3471.4906730490857,1461.5821063956364,1461.5821063956364,-817.993343970725,-817.993343970725,-817.993343970725,-1040.4661540524796,-1040.4661540524796,-1040.4661540524796,222.47281008175455,222.47281008175455,222.47281008175455,0.0,0.0,0.0,643.5887624249114
2014-03-28,1461.8169465249232,-680.9934782115057,4578.957351616341,1461.8169465249232,1461.8169465249232,511.1631647992648,511.1631647992648,511.1631647992648,419.72081846441233,419.72081846441233,419.72081846441233,91.44234633485236,91.44234633485236,91.44234633485236,0.0,0.0,0.0,1972.9801113241879
2014-03-29,1461.9343665895663,-1079.6913174296062,4337.9890818790645,1461.9343665895663,1461.9343665895663,48.08488763355276,48.08488763355276,48.08488763355276,21.485158003289982,21.485158003289982,21.485158003289982,26.59972963026276,26.59972963026276,26.59972963026276,0.0,0.0,0.0,1510.019254223119
2014-03-30,1462.0517866542095,-1183.1606159062,4220.6780008431415,1462.0517866542095,1462.0517866542095,167.38638626966974,167.38638626966974,167.38638626966974,203.64879672820524,203.64879672820524,203.64879672820524,-36.2624104585355,-36.2624104585355,-36.2624104585355,0.0,0.0,0.0,1629.4381729238794
2014-03-31,1462.1692067188528,-801.9269461050208,4394.742486511374,1462.1692067188528,1462.1692067188528,315.46784474854314,315.46784474854314,315.46784474854314,411.61042650179445,411.61042650179445,411.61042650179445,-96.14258175325135,-96.14258175325135,-96.14258175325135,0.0,0.0,0.0,1777.6370514673958
2014-04-01,1462.286626783496,-1752.9019127101924,3970.258802313543,1462.286626783496,1462.286626783496,-324.2143385601919,-324.2143385601919,-324.2143385601919,-172.03488485359236,-172.03488485359236,-172.03488485359236,-152.1794537065995,-152.1794537065995,-152.1794537065995,0.0,0.0,0.0,1138.0722882233042
2014-04-02,1462.4040468481394,-2610.6739869272747,2870.3996505017703,1462.4040468481394,1462.4040468481394,-1244.1316593017723,-1244.1316593017723,-1244.1316593017723,-1040.4661540523382,-1040.4661540523382,-1040.4661540523382,-203.66550524943406,-203.66550524943406,-203.66550524943406,0.0,0.0,0.0,218.2723875463671
2014-04-03,1462.5214669127827,-1643.2265877234074,4004.466461315861,1462.5214669127827,1462.5214669127827,-94.02045817631233,-94.02045817631233,-94.02045817631233,156.03583920834845,156.03583920834845,156.03583920834845,-250.05629738466078,-250.05629738466078,-250.05629738466078,0.0,0.0,0.0,1368.5010087364703
2014-04-04,1462.6388869774262,-1296.259578779917,4439.632240407527,1462.6388869774262,1462.6388869774262,128.74555770391677,128.74555770391677,128.74555770391677,419.72081846350187,419.72081846350187,419.72081846350187,-290.97526075958507,-290.97526075958507,-290.97526075958507,0.0,0.0,0.0,1591.384444681343
2014-04-05,1462.7563070420695,-1675.9819936100828,4003.1144413574984,1462.7563070420695,1462.7563070420695,-304.72884899224425,-304.72884899224425,-304.72884899224425,21.485158002736803,21.485158002736803,21.485158002736803,-326.214006994981,-326.214006994981,-326.214006994981,0.0,0.0,0.0,1158.0274580498253
2014-04-06,1462.8737271067127,-1413.97487666144,4033.981804647694,1462.8737271067127,1462.8737271067127,-152.07949184416887,-152.07949184416887,-152.07949184416887,203.6487967287904,203.6487967287904,203.6487967287904,-355.7282885729593,-355.7282885729593,-355.7282885729593,0.0,0.0,0.0,1310.794235262544
2014-04-07,1462.991147171356,-1304.5658437289069,4236.58322996876,1462.991147171356,1462.991147171356,31.980584000624148,31.980584000624148,31.980584000624148,411.6104265014414,411.6104265014414,411.6104265014414,-379.6298425008173,-379.6298425008173,-379.6298425008173,0.0,0.0,0.0,1494.97173117198
2014-04-08,1463.1085672359993,-1656.5202946430595,3689.4640734624177,1463.1085672359993,1463.1085672359993,-570.2093398687739,-570.2093398687739,-570.2093398687739,-172.0348848547553,-172.0348848547553,-172.0348848547553,-398.1744550140186,-398.1744550140186,-398.1744550140186,0.0,0.0,0.0,892.8992273672254
2014-04-11,1463.460827429929,-1336.1919660309354,4064.216020583373,1463.460827429929,1463.460827429929,-6.324080856270364,-6.324080856270364,-6.324080856270364,419.7208184640163,419.7208184640163,419.7208184640163,-426.0448993202867,-426.0448993202867,-426.0448993202867,0.0,0.0,0.0,1457.1367465736587
2014-04-12,1463.5782474945725,-1568.1763504046446,3827.088551431635,1463.5782474945725,1463.5782474945725,-406.5247271433365,-406.5247271433365,-406.5247271433365,21.4851580029861,21.4851580029861,21.4851580029861,-428.0098851463227,-428.0098851463227,-428.0098851463227,0.0,0.0,0.0,1057.0535203512359
2014-04-13,1463.6956675592157,-1449.2802476106915,4083.1906923780602,1463.6956675592157,1463.6956675592157,-223.78650304051084,-223.78650304051084,-223.78650304051084,203.64879672837634,203.64879672837634,203.64879672837634,-427.43529976888726,-427.43529976888726,-427.43529976888726,0.0,0.0,0.0,1239.909164518705
2014-04-15,1463.9305076885023,-1815.7428551020555,3759.1928922102306,1463.9305076885023,1463.9305076885023,-593.5819921640073,-593.5819921640073,-593.5819921640073,-172.03488485591822,-172.03488485591822,-172.03488485591822,-421.54710730808904,-421.54710730808904,-421.54710730808904,0.0,0.0,0.0,870.348515524495
2014-04-16,1464.0479277531456,-2628.1536256977793,2842.927556188113,1464.0479277531456,1464.0479277531456,-1458.1135074573976,-1458.1135074573976,-1458.1135074573976,-1040.4661540530287,-1040.4661540530287,-1040.4661540530287,-417.6473534043688,-417.6473534043688,-417.6473534043688,0.0,0.0,0.0,5.934420295747941
2014-04-18,1464.2827678824322,-1016.8489130539068,4221.068707574078,1464.2827678824322,1464.2827678824322,8.550026934514646,8.550026934514646,8.550026934514646,419.72081846406627,419.72081846406627,419.72081846406627,-411.17079152955165,-411.17079152955165,-411.17079152955165,0.0,0.0,0.0,1472.8327948169467
2014-04-19,1464.4001881551285,-1704.1203932167566,3767.2217684592647,1464.4001881551285,1464.4001881551285,-388.20431031117226,-388.20431031117226,-388.20431031117226,21.485158003582807,21.485158003582807,21.485158003582807,-409.689468314755,-409.689468314755,-409.689468314755,0.0,0.0,0.0,1076.1958778439562
2014-04-20,1464.5176084278253,-1665.3963240703795,4221.298864586874,1464.5176084278253,1464.5176084278253,-206.31536635090598,-206.31536635090598,-206.31536635090598,203.64879672907364,203.64879672907364,203.64879672907364,-409.9641630799796,-409.9641630799796,-409.9641630799796,0.0,0.0,0.0,1258.2022420769192
2014-04-21,1464.6350287005218,-1258.6281331173348,4350.188642673013,1464.6350287005218,1464.6350287005218,-0.6969547775804048,-0.6969547775804048,-0.6969547775804048,411.6104265015881,411.6104265015881,411.6104265015881,-412.3073812791685,-412.3073812791685,-412.3073812791685,0.0,0.0,0.0,1463.9380739229414
2014-04-22,1464.7524489732184,-1940.1328846560118,3729.0408474232836,1464.7524489732184,1464.7524489732184,-588.9568718169074,-588.9568718169074,-588.9568718169074,-172.03488485435798,-172.03488485435798,-172.03488485435798,-416.92198696254974,-416.92198696254974,-416.92198696254974,0.0,0.0,0.0,875.795577156311
2014-04-23,1464.8698692459152,-2841.1455957607,2641.3681677224777,1464.8698692459152,1464.8698692459152,-1464.3640432582833,-1464.3640432582833,-1464.3640432582833,-1040.4661540528011,-1040.4661540528011,-1040.4661540528011,-423.89788920548233,-423.89788920548233,-423.89788920548233,0.0,0.0,0.0,0.5058259876318516
2014-04-25,1465.1047097913086,-1332.4784852236896,4296.6455993097625,1465.1047097913086,1465.1047097913086,-25.011989350745495,-25.011989350745495,-25.011989350745495,419.7208184641163,419.7208184641163,419.7208184641163,-444.7328078148618,-444.7328078148618,-444.7328078148618,0.0,0.0,0.0,1440.092720440563
2014-04-26,1465.2221300640051,-1850.5209382449264,3833.2041147190016,1465.2221300640051,1465.2221300640051,-436.7399129212171,-436.7399129212171,-436.7399129212171,21.485158002682233,21.485158002682233,21.485158002682233,-458.2250709238994,-458.2250709238994,-458.2250709238994,0.0,0.0,0.0,1028.482217142788
2014-04-28,1465.4569706093985,-1441.123302820601,4102.86133304056,1465.4569706093985,1465.4569706093985,-78.12379428917399,-78.12379428917399,-78.12379428917399,411.6104265008199,411.6104265008199,411.6104265008199,-489.7342207899939,-489.7342207899939,-489.7342207899939,0.0,0.0,0.0,1387.3331763202245
2014-04-29,1465.5743908820953,-2204.5757752281916,3477.392619371311,1465.5743908820953,1465.5743908820953,-678.9038383558967,-678.9038383558967,-678.9038383558967,-172.03488485509564,-172.03488485509564,-172.03488485509564,-506.868953500801,-506.868953500801,-506.868953500801,0.0,0.0,0.0,786.6705525261985
2014-04-30,1465.6918111547918,-2803.703612513887,2641.3981983683257,1465.6918111547918,1465.6918111547918,-1564.7077712733753,-1564.7077712733753,-1564.7077712733753,-1040.4661540525733,-1040.4661540525733,-1040.4661540525733,-524.2416172208021,-524.2416172208021,-524.2416172208021,0.0,0.0,0.0,-99.01596011858351
2014-05-02,1465.9266517001852,-1346.3382111487595,4111.720536814493,1465.9266517001852,1465.9266517001852,-137.7383188552547,-137.7383188552547,-137.7383188552547,419.72081846320583,419.72081846320583,419.72081846320583,-557.4591373184605,-557.4591373184605,-557.4591373184605,0.0,0.0,0.0,1328.1883328449305
